home,dir_name,author,year,title
.,DHDEIGRS,Linkert et al.,2010,Metadata Matters Access To Image Data In The Real
.,U8WK5HBE,Marcus et al.,2010,Open Access Series Of Imaging Studies Longitudina
.,98J5FIIA,Cohen-Boulakia and Leser,2011,"Search, Adapt, And Reuse The Future Of Scientific"
.,D7FC4XBF,Cohen-Boulakia and Leser,2011,"Search, Adapt, And Reuse The Future Of Scientific"
.,U9CG2L53,Peng,2011,Reproducible Research In Computational Science
.,IEW3Y2XG,Plant et al.,2011,New Concepts For Building Vocabulary For Cell Imag
.,4FEZMS7V,Wicherts et al.,2011,Willingness To Share Research Data Is Related To T
.,XRIQ7XX7,Das et al.,2012,Loris A Web-Based Data Management System For Mult
.,CDGJ6ZBK,Eliceiri et al.,2012,Biological Imaging Software Tools
.,JBDDFTVE,Musen et al.,2012,The National Center For Biomedical Ontology
.,GI53C9CN,Aasi et al.,2013,Search For Gravitational Waves From Binary Black H
.,EJLI7M2X,Aasi et al.,2013,Einstein@Home All-Sky Search For Periodic Gravitat
.,S5IYCRGM,Aasi et al.,2013,Search For Long-Lived Gravitational-Wave Transient
.,HRE7EEHU,Aasi et al.,2013,Enhanced Sensitivity Of The Ligo Gravitational Wav
.,8JU8T9DC,Aasi et al.,2013,Directed Search For Continuous Gravitational Waves
.,G3BTGMIJ,Aasi et al.,2013,Parameter Estimation For Compact Binary Coalescenc
.,J6CDV6SC,Adrián-Martínez et al.,2013,A First Search For Coincident Gravitational Waves 
.,RDEPHE2S,Aiken et al.,2013,The 1970'S Shift In Enso Dynamics A Linear Invers
.,AMMWDHC5,Alonso-Marroquín et al.,2013,Experimental And Numerical Determination Of Mechan
.,SICPR7MN,Altintas et al.,2013,Raft-Based Polystyrene And Polyacrylate Melts Unde
.,2497RNLF,AMI Consortium et al.,2013,Ami Galactic Plane Survey At 16 Ghz
.,KDIJZIQF,Andela et al.,2013,Global Changes In Dryland Vegetation Dynamics (198
.,PB62JMYK,Andrews et al.,2013,An Initial Mass Function Study Of The Dwarf Starbu
.,CIRNPUN5,Argüeso et al.,2013,Precipitation Bias Correction Of Very High Resolut
.,5C4FT9FM,Assadi et al.,2013,Selecting The Suitable Dopants Electronic Structu
.,CFDEY5S4,Assis et al.,2013,The Hard Hexagon Partition Function For Complex Fu
.,DK7SNEFK,Badia and Baiges,2013,Adaptive Finite Element Simulation Of Incompressib
.,E34S6UQL,Badia et al.,2013,Enhanced Balancing Neumann-Neumann Preconditioning
.,TCB5LVIG,Badia et al.,2013,On An Unconditionally Convergent Stabilized Finite
.,7RPTQTEB,Badia et al.,2013,Implementation And Scalability Analysis Of Balanci
.,B4KTF8TX,Banerjee et al.,2013,New Primary Mechanisms For The Synthesis Of Rare B
.,2SKBZWXT,Bao et al.,2013,Magnetotransport Dependence On The Field Magnitude
.,RZWW4KSD,Bauer-Marschallinger et al.,2013,How Oceanic Oscillation Drives Soil Moisture Varia
.,7H6EBPRF,Beare et al.,2013,Brain Extraction Using The Watershed Transform Fro
.,RXJ9FSR2,Bechhofer et al.,2013,Why Linked Data Is Not Enough For Scientists
.,A5PIBSCW,Beck et al.,2013,The Impact Of Forest Regeneration On Streamflow In
.,FPXB3URA,Beck et al.,2013,Global Patterns In Base Flow Index And Recession B
