project_code,lead_ci,institution,project_title,nci_gadi_allocation_ksu,pawsey_magnus_allocation_ksu,monash_massive_allocation_ksu,uq_flash_lite_allocation_ksu,total_allocation_ksu
e14,Matthew England,University of NSW,"Past, present and future climate variability and change in the Southern Hemisphere",26000,NA,NA,NA,26000
y89,Martin Asplund,Australian National University,3D magneto-hydrodynamical stellar modelling and 3D non-equilibrium radiative transfer,16000,NA,NA,NA,16000
e31,Derek Leinweber,University of Adelaide,Electromagnetic Structure of Matter,10000,5000,NA,NA,15000
w47,Evatt Hawkes,University of NSW,Direct Numerical Simulations of Turbulent Combustion,6000,9000,NA,NA,15000
f97,Julian Gale,Curtin University of Technology,Atomistic Simulation for Geochemistry and Nanoscience,5000,8000,NA,NA,13000
bq2,Richard Sandberg,University of Melbourne,High-fidelity simulations of turbomachinery applications,4000,8500,NA,NA,12500
g75,Julio Soria,Monash University,Investigations of transitional and turbulent shear flows using direct numerical simulations and large eddy simulations,3000,9000,350,NA,12350
g40,Andrew Hogg,Australian National University,The Dynamics of the Southern Ocean,10000,NA,NA,NA,10000
jh2,Mark Krumholz,Australian National University,Star Formation and Feedback in a Turbulent Interstellar Medium,10000,NA,NA,NA,10000
dc7,Vincent Wheatley,University of Queensland,Scramjet-based Access-to-Space and Planetary Entry,6000,3000,NA,NA,9000
ek9,Christoph Federrath,Australian National University,"Modelling Turbulence, the Formation of the First Stars, Magnetised Clouds, Supernova Explosions, and Binary Star Formation",8000,NA,NA,NA,8000
e87,Irene Yarovsky,Royal Melbourne Institute of Technology,Theoretical Investigation of novel materials for industrial and biomedical applications,4000,4000,NA,NA,8000
n81,Jason Evans,University of NSW,Regional Climate Modelling in Australia,5000,1200,NA,NA,6200
f81,Michelle Coote,Australian National University,Computer-aided Chemical Design of Catalysts and Control Agents,6000,NA,NA,NA,6000
fr2,Sean Smith,Australian National University,Computational Nanomaterials Science and Engineering,4000,2000,NA,NA,6000
m72,Alan Mark,University of Queensland,Modelling of the interaction between Antarctica and the Southern Ocean,4000,2000,NA,NA,6000
g46,Catherine Stampfl,University of Sydney,"First-Principles Investigations of Processes and Properties in Catalysis, Coatings, and Devices",5000,500,NA,NA,5500
fb2,Daniel Chung,University of Melbourne,Direct numerical simulation of wall-bounded and buoyancy-driven turbulent flows,2600,2800,NA,NA,5400
fc8,Debra Bernhardt,University of Queensland,"New materials, structures and fluids for catalysis, battery technologies and sensors.",3000,2000,NA,NA,5000
fh6,Alexander Heger,Monash University,3D Simulations of Core-Collapse Supernovae and their Progenitors,2400,2500,NA,NA,4900
k96,Ekaterina Pas,Monash University,"Fully ab initio large-scale calculations for the prediction of physiochemical properties of condensed systems, polymers and proteins.",4800,NA,NA,NA,4800
d35,Igor Bray,Curtin University of Technology,Atomic Collision Theory,500,4000,NA,NA,4500
dv1,Tiffany Walsh,Deakin University,Development and application of soft-matter/nano interfacial simulations,3000,1200,NA,NA,4200
ds2,Bishakhdatta Gayen,University of Melbourne,The role of convection and turbulent mixing in ocean circulation,4000,NA,NA,NA,4000
d77,Hugh Blackburn,Monash University,Simulation of Transitional and Turbulent Flows for Engineering Applications,2800,1000,NA,NA,3800
m49,Aijun Du,Queensland University of Technology,"Nanomaterials for Energy, Nanoelectronics and Environmental Applications: Contribution from Modelling towards Rational Design",2400,1300,NA,NA,3700
m18,Louis Moresi,Australian National University,Instabilities in the convecting mantle and lithosphere,2000,1700,NA,NA,3700
ds0,Nathan Bindoff,University of Tasmania,Turbulence and mixing in the Southern Ocean,3600,NA,NA,NA,3600
y99,Katrin Meissner,University of NSW,"Abrupt climate change events in the past, present and future",3600,NA,NA,NA,3600
g15,Ben Corry,Australian National University,Simulation studies of biological and synthetic channels,1600,2000,NA,NA,3600
ev5,Ben Thornber,University of Sydney,Variable Density Compressible Turbulent Mixing,3000,400,NA,NA,3400
q97,Dietmar Mueller,University of Sydney,Geodynamics and evolution of sedimentary systems,3000,250,NA,NA,3250
ol9,Adrian Pudsey,Royal Melbourne Institute of Technology,Aerothermodynamics of High Speed Flight and Enabling Technologies,3200,NA,NA,NA,3200
dv9,Amir Karton,University of Western Australia,High-level quantum chemistry: From theory to thermochemical and biochemical application,3000,NA,NA,NA,3000
m65,Christoph Arns,University of NSW,Integration of conventional and digital core analysis,3000,NA,NA,NA,3000
d71,Mark Thompson,Monash University,"Transition, stability and control of bluff body flows",2000,1000,NA,NA,3000
dd7,Toby Allen,Royal Melbourne Institute of Technology,Mechanisms of ion channel function and modulation.,1000,2000,NA,NA,3000
ga9,Suresh Bhatia,University of Queensland,Interfacial Barriers for the Transport of Nanoconfined Fluids,2000,750,NA,NA,2750
d39,Leo Radom,University of Sydney,Structural and Mechanistic Chemistry,2700,NA,NA,NA,2700
mk63,Nicole STANFORD,University of South Australia,A first principles approach to understanding real engineering materials,2500,NA,NA,NA,2500
kn6,Mohsen Talei,University of Melbourne,Developing predictive tools for cleaner combustion,500,2000,NA,NA,2500
xd2,Rhodri Davies,Australian National University,Revealing the 4-D Evolution of Earth's Engine,2400,NA,NA,NA,2400
cw7,Junming Ho,University of NSW,Accelerating the Design of Novel Catalysts and Drugs through Computational Chemistry,2000,400,NA,NA,2400
n67,Kerry Hourigan,Monash University,Advanced Modelling of Fluid-Structure Interactions,1500,750,NA,NA,2250
w27,Nikhil Medhekar,Monash University,Enabling Functional Properties of Nanoscale Materials using Atomistic Simulations,1000,1200,NA,NA,2200
y82,David Edwards,University of Western Australia,Analysis of complex genomes,NA,2100,50,20,2170
ad73 (12585),Rajib Rahman,University of NSW,Multiscale Multiphysics Simulations of Silicon Quantum Information Processing Units,2000,NA,NA,NA,2000
dv3,Yan Jiao,University of Adelaide,Design Electrocatalysts Materials for Clean Energy Conversion by DFT,2000,NA,NA,NA,2000
v43,Simon Ringer,University of Sydney,Exploring structure-property correlations in advanced materials: Nexus between computational simulation and atomic resolution microscopy,2000,NA,NA,NA,2000
p88,Zhe Liu,University of Melbourne,Integrated Computational Materials Engineering for Alloy Design,1000,1000,NA,NA,2000
12632,Richard Matear,CSIRO,Annual to Decadal Climate Forecasting,NA,2000,NA,NA,2000
d64,Andrew Rohl,Curtin University of Technology,"Modelling of the Effects of Solvent, Additives and Defects on Crystallisation",NA,2000,NA,NA,2000
q95,Megan O'Mara,Australian National University,"Biomolecular recognition, self-assembly and dynamics",1600,250,NA,NA,1850
rt83,Ashley Ruiter,UNSW Canberra,Formation channels of thermonuclear supernova progenitors and white dwarf transients,1800,NA,NA,NA,1800
y41,Michelle Spencer,Royal Melbourne Institute of Technology,Modelling Nanoscale Materials for Sensing and Device Applications,800,800,150,NA,1750
k10,Shayne McGregor,Monash University,Predicting and understanding Australia's regional rainfall distribution in a changing climate,1700,NA,NA,NA,1700
nm03,Callum Shakespeare,Australian National University,Wave-eddy-mean flow dynamics,1600,NA,NA,NA,1600
r15,Kevin Walsh,University of Melbourne,South Pacific High-resolution Climate Model Simulations,1600,NA,NA,NA,1600
d85,Cheong Xin Chan,University of Queensland,Comparative and Evolutionary Genomics of Microbes from Diverse Environments,1000,NA,NA,600,1600
up6,Steven Sherwood,University of NSW,Rethinking atmospheric physics to resolve climate enigmas,1500,NA,NA,NA,1500
v15,Haibo Yu,University of Wollongong,Molecular Simulations of Enzymatic Catalysis and Computer-Aided Molecular Design,1500,NA,NA,NA,1500
fb3,Craig O'Neill,Macquarie University,Towards a geodynamics millenium run,1000,500,NA,NA,1500
12566,Jian-Feng Nie,Monash University,Simulation of interactions between solutes and lattice defects in advanced magnesium alloys using deep learned potentials,NA,1500,NA,NA,1500
12635,Melanie Johnston-Hollitt,Curtin University of Technology,Mapping Large-Scale Structure Formation with the Murchison Widefield Array,NA,1500,NA,NA,1500
fa4,Jason Sharples,University of NSW,Modelling and simulation of dynamic bushifre propagation,1440,NA,NA,NA,1440
f25,John Young,UNSW Canberra,Fluid-Structure Interactions in Biological and Biomedical Systems,1400,NA,NA,NA,1400
xu1,Ricardo Mancera,Curtin University of Technology,Large scale molecular dynamics simulations of biomolecular systems,500,750,NA,NA,1250
fk5,Lars Goerigk,University of Melbourne,Theoretical and Computational Quantum Chemistry Including Development of Computational Methods and Computational Materials Science,1200,NA,NA,NA,1200
fm5,Ivo Seitenzahl,UNSW Canberra,Hydrodynamical explosion simulations and radiative transfer for thermonuclear and core-collapse supernovae,1200,NA,NA,NA,1200
12548,Cathryn Trott,Curtin University of Technology,Detecting the Epoch of Reionisation with the Murchison Widefield Array,NA,1200,NA,NA,1200
n69,Fabio Capitanio,Monash University,4-D Numerical Models of Plate Tectonics Subduction with an Upper Plate,1100,NA,NA,NA,1100
eu82,Sang Lee,University of South Australia,Novel whole-genome approaches to capture the latent genetic architecture of complex traits,1020,NA,NA,NA,1020
gg96 (12526),Nicholas Williamson,University of Sydney,TRANSITION AND TURBULENCE IN LOW AND HIGH TEMPERATURE NATURAL CONVECTION,1000,NA,NA,NA,1000
tn40 (12579),Sebastien Allgeyer,Australian National University,Earth deformation and mass transport,1000,NA,NA,NA,1000
ki24 (12623),Chris Power,University of Western Australia,Low-Mass Galaxies as Testbeds of Dark Matter and Galaxy Formation,1000,NA,NA,NA,1000
lv15 (12642),Susan Clark,Garvan Institute of Medical Research,Computational analysis of Epigenome diversity and inheritance patterns,1000,NA,NA,NA,1000
br86,Rey Cheng Chin,University of Adelaide,Numerical simulations of rough wall turbulence: A control's approach,1000,NA,NA,NA,1000
cj52,Aman G. Kidanemariam,University of Melbourne,Direct numerical simulation of turbulent shallow flows with deformable free-surface,1000,NA,NA,NA,1000
mp5,Susanna Guatelli,University of Wollongong,Development of Monte Carlo simulation tools for medical physics applications,1000,NA,NA,NA,1000
n23,Russell Boyce,UNSW Canberra,Physics of the interactions between high-speed craft and their environment,1000,NA,NA,NA,1000
nf4,Graham Heinson,University of Adelaide,3D Geophysical Imaging for the Australian Lithospheric Architecture Magnetotelluric Project (AusLAMP),1000,NA,NA,NA,1000
pa4,Simon Illingworth,University of Melbourne,Reduced-order models of wall-bounded turbulence,1000,NA,NA,NA,1000
rj76,Marie-Emilie Gauthier,University of NSW,Comprehensive investigation of noncoding biology in high-risk paediatric cancers,1000,NA,NA,NA,1000
te53,Simon Easteal,Australian National University,The National Centre for Indigenous Genomics,1000,NA,NA,NA,1000
v05,Nicolas Flament,University of Wollongong,4D relationships between supercontinents and mantle convection,1000,NA,NA,NA,1000
zx7,Yi Du,University of Wollongong,Simulation on atomic and electronic structures of 2D materials,1000,NA,NA,NA,1000
h66,Gregory Sheard,Monash University,Two-dimensionalisation of MHD turbulence and ultimate horizontal convection regimes,500,500,NA,NA,1000
iz4,Justin Leontini,Swinburne University of Technology,Oscillatory flows in complex geometries,0,1000,NA,NA,1000
ew6,Simon Campbell,Monash University,Convective-Reactive Nuclear Burning and Turbulence Boundaries in Stars,NA,1000,NA,NA,1000
p87,Nigel Marks,Curtin University of Technology,Atomistic Modelling of Carbon Nanostructures,NA,1000,NA,NA,1000
ch81 (12251),Katherine Belov,University of Sydney,Establishing an immunogenetic ark for Australian threatened species,900,NA,NA,27,927
g23,Meredith Jordan,University of Sydney,Molecular Interactions,900,NA,NA,NA,900
lg8,Liangzhi Kou,Queensland University of Technology,Two-dimensional multiferroics and coupling with topological insulators for next generation electronics,600,250,NA,NA,850
d36,Iwan Jensen,Flinders University,Exact Enumerations in Statistical Mechanics and Combinatorics,800,NA,NA,NA,800
dp0,Alister Page,University of Newcastle,Quantum Chemical Modelling of Nanoscale Chemical Processes,800,NA,NA,NA,800
fz8,Jared Cole,Royal Melbourne Institute of Technology,The materials science of transport and decoherence in quantum devices.,800,NA,NA,NA,800
h72,Salvy Russo,Royal Melbourne Institute of Technology,Prediction of the Properties of Materials and Nanomaterials,800,NA,NA,NA,800
no2,Michael Ford,"University of Technology, Sydney",Nanostructured Materials for Energy Efficiency Applications,800,NA,NA,NA,800
q90,Robyn Schofield,University of Melbourne,Atmosphere-Ocean Coupled Chemistry Climate Modelling of Ozone and Aerosols,800,NA,NA,NA,800
v88,Ting Liao,Queensland University of Technology,Theoretical Design of Oxides Based Materials for Energy Application,800,NA,NA,NA,800
gq19 (12613),Vanessa Hayes,University of Sydney,Establishing a Genomic Signature for High-Risk Prostate Cancer,760,NA,NA,NA,760
jy88 (12588),Liang Cheng,University of Western Australia,Optimising design and operation of offshore oil and gas facilities using numerical modelling,500,250,NA,NA,750
nx39 (12616),Vassili Kitsios,CSIRO,Ensemble Kalman filter state and parameter estimation of CMIP resolution global climate models,500,250,NA,NA,750
ep0,Judy Hart,University of NSW,Design and development of new inexpensive photoactive materials for efficient hydrogen production and biomedical applications,500,250,NA,NA,750
fc2,Evelyne Deplazes,"University of Technology, Sydney",Tapping into nature's pharmacy cabinet - molecular simulations to facilitate peptide-derived pharmaceuticals,500,250,NA,NA,750
m45,Andrew Ooi,University of Melbourne,Understanding the Development of Cardiovascular Diseases Using Advanced Tools in Computational Fluid Dynamics and Artificial Intelligence,500,250,NA,NA,750
na4,Lloyd Hollenberg,University of Melbourne,Quantum Computer Device Simulations,500,250,NA,NA,750
q75,Andrew Hung,Royal Melbourne Institute of Technology,Developing New Treatments for Pain,500,250,NA,NA,750
to21,HA BUI,Monash University,Understanding the micromechanical origin of liquefaction in silty soils using advanced computational approach,500,250,NA,NA,750
y84,Jingxian Yu,University of Adelaide,Spin-selective Electron Transfer in Chiral Peptides,500,250,NA,NA,750
12268,Iver Cairns,University of Sydney,Solar Imaging with the Murchison Widefield Array and Advanced Simulations of Coronal Mass Ejections and Their Radio Emissions,NA,750,NA,NA,750
bt62 (12599),Santiago Badia,Monash University,Scalability assessment of the parallel h-adaptive aggregated unfitted FE method with complex domains and multiple scale problems,600,NA,NA,NA,600
k02,David Wilson,La Trobe University,Quantum Chemical Molecular Properties,500,NA,NA,60,560
