given_name,last_name,institution,first,last,orcid
Matthew,England,University of New South Wales,Matthew,England,0000-0001-9696-2930
Derek,Leinweber,University of Adelaide,Derek,Leinweber,0000-0002-4745-6027
Evatt,Hawkes,University of New South Wales,Evatt,Hawkes,0000-0003-0539-7951
Mark,Krumholz,Australian National University,Mark,Krumholz,0000-0003-3893-854X
Christoph,Federrath,Australian National University,Christoph,Federrath,0000-0002-0706-2306
Irene,Yarovsky,Royal Melbourne Institute of Technology,Irene,Yarovsky,0000-0002-4033-5150
Jason,Evans,University of New South Wales,Jason,Evans,0000-0003-1776-3429
Sean,Smith,Australian National University,Sean,Smith,0000-0002-5679-8205
Alexander,Heger,Monash University,Alexander,Heger,0000-0002-3684-1325
Bishakhdatta,Gayen,University of Melbourne,Bishakhdatta,Gayen,0000-0001-6543-2590
Hugh,Blackburn,Monash University,Hugh,Blackburn,0000-0003-3469-5237
Louis,Moresi,Australian National University,Louis,Moresi,0000-0003-3685-174X
Ben,Corry,Australian National University,Ben,Corry,0000-0002-6324-442X
Amir,Karton,University of Western Australia,Amir,Karton,0000-0002-7981-508X
Christoph,Arns,University of New South Wales,Christoph,Arns,0000-0003-1721-3996
Mark,Thompson,Monash University,Mark Quinlivan,Thompson,0000-0002-6420-4294
Nicole,STANFORD,University of South Australia,Nicole,Stanford,0000-0002-3298-4249
Rhodri,Davies,Australian National University,D. Rhodri,Davies,0000-0002-7662-9468
Kerry,Hourigan,Monash University,Kerry,Hourigan,0000-0002-8995-1851
David,Edwards,University of Western Australia,David,Edwards,0000-0001-7599-6760
Yan,Jiao,University of Adelaide,Yan,Jiao,0000-0003-1329-4290
Simon,Ringer,University of Sydney,Simon,Ringer,0000-0002-1559-330X
Richard,Matear,CSIRO,richard,matear,0000-0002-3225-0800
Ashley,Ruiter,University of New South Wales,Ashley,Ruiter,0000-0002-4794-6835
Michelle,Spencer,Royal Melbourne Institute of Technology,Michelle J.S.,Spencer,0000-0003-4646-1550
Shayne,McGregor,Monash University,Shayne,McGregor,0000-0003-3222-7042
Kevin,Walsh,University of Melbourne,Kevin,Walsh,0000-0002-1860-510X
Steven,Sherwood,University of New South Wales,Steven,Sherwood,0000-0001-7420-8216
Craig,O'Neill,Macquarie University,Craig,O'Neill,0000-0002-6034-1881
Melanie,Johnston-Hollitt,Curtin University of Technology,Melanie,Johnston-Hollitt,0000-0003-2756-8301
Jason,Sharples,University of New South Wales,Jason,Sharples,0000-0002-7816-6989
Ricardo,Mancera,Curtin University of Technology,Ricardo,Mancera,0000-0002-9191-5622
Ivo,Seitenzahl,University of New South Wales,Ivo,Seitenzahl,0000-0002-5044-2988
Cathryn,Trott,Curtin University of Technology,Cathryn,Trott,0000-0001-6324-1766
Sang,Lee,University of South Australia,Sang Taek,Lee,0000-0002-2189-7780
