orcid,lead_ci,first,last,institution,project_code,project_title
0000-0001-9792-4143,Adrian Sheppard,Adrian,Sheppard,Australian National University,d59,X-ray micro-tomography to probe the structure and properties of complex and hierarchical materials
0000-0002-6508-7480,Albert Van Dijk,Albert,Van Dijk,Australian National University,ac76 (12573),National biodiversity trends and accounts
0000-0003-4369-1019,Alexander Mikheyev,Alexander,Mikheyev,Australian National University,12641,"Understanding the advantages of sex, using asexual lineages"
0000-0001-8318-9408,Anatoli Kheifets,Anatoli,Kheifets,Australian National University,x01,Time-space resolved photoelectron emission
NA,Andrew Hogg,NA,NA,Australian National University,g40,The Dynamics of the Southern Ocean
0000-0002-9403-9779,Anna Herring,Anna,Herring,Australian National University,fd28,Understanding pore-scale displacement mechanisms relevant to geologic CO2 sequestration using multiphase lattice-Boltzmann models
0000-0002-6324-442X,Ben Corry,Ben,Corry,Australian National University,g15,Simulation studies of biological and synthetic channels
0000-0002-8109-0751,Callum Shakespeare,Callum,Shakespeare,Australian National University,nm03,Wave-eddy-mean flow dynamics
0000-0002-0706-2306,Christoph Federrath,Christoph,Federrath,Australian National University,ek9,"Modelling Turbulence, the Formation of the First Stars, Magnetised Clouds, Supernova Explosions, and Binary Star Formation"
0000-0003-0793-6218,Eduardo Eyras,Eduardo,Eyras,Australian National University,qq78 (12565),Large-scale multi-cohort discovery of clinical markers in childhood acute leukaemia
0000-0003-3685-174X,Louis Moresi,Louis,Moresi,Australian National University,m18,Instabilities in the convecting mantle and lithosphere
0000-0003-3893-854X,Mark Krumholz,Mark,Krumholz,Australian National University,jh2,Star Formation and Feedback in a Turbulent Interstellar Medium
NA,Martin Asplund,NA,NA,Australian National University,y89,3D magneto-hydrodynamical stellar modelling and 3D non-equilibrium radiative transfer
0000-0002-8764-1585,Megan O'Mara,Megan,O'Mara,Australian National University,q95,"Biomolecular recognition, self-assembly and dynamics"
0000-0003-0828-7053,Michelle Coote,Michelle,Coote,Australian National University,f81,Computer-aided Chemical Design of Catalysts and Control Agents
0000-0002-7662-9468,Rhodri Davies,D. Rhodri,Davies,Australian National University,xd2,Revealing the 4-D Evolution of Earth's Engine
0000-0002-5679-8205,Sean Smith,Sean,Smith,Australian National University,fr2,Computational Nanomaterials Science and Engineering
0000-0003-4864-0181,Sebastien Allgeyer,Sebastien,Allgeyer,Australian National University,tn40 (12579),Earth deformation and mass transport
0000-0002-0462-502X,Simon Easteal,Simon,Easteal,Australian National University,te53,The National Centre for Indigenous Genomics
0000-0003-1160-2077,Matthew Whiting,Matthew,Whiting,CSIRO,ja3,ASKAP Pilot Survey Science
0000-0002-3225-0800,Richard Matear,richard,matear,CSIRO,12632,Annual to Decadal Climate Forecasting
NA,Vassili Kitsios,NA,NA,CSIRO,nx39 (12616),Ensemble Kalman filter state and parameter estimation of CMIP resolution global climate models
0000-0001-6251-3483,Yuan Mei,Yuan,Mei,CSIRO,qc75,Deep Earth Imaging: molecular simulation of mineral and geological fluids
0000-0003-0038-2785,Andrew Rohl,Andrew,Rohl,Curtin University of Technology,d64,"Modelling of the Effects of Solvent, Additives and Defects on Crystallisation"
